expense_id,employee_name,employee_email,department,category,vendor,amount,currency,date,card_last4,approver_name,region
9fb89abd-35c4-4401-8b41-fff79a87df1b,Ethan Adams,ethan.adams@example.com,Operations,Client Entertainment,Patton-Jenkins,713.1,USD,2025-06-07,5010,John Daniel,Europe
c21aa91c-4ab2-4fd2-b72e-7163f8b4605e,Sherri Baker,sherri.baker@example.com,Finance,Client Entertainment,Green LLC,177.19,USD,2025-05-28,7252,Crystal Robinson,Latin America
80ed2d74-0fe8-4dc4-bb66-cd24644e5850,Anthony Rodriguez,anthony.rodriguez@example.com,Finance,Travel,"Lee, Horton and Snyder",1716.48,USD,2025-12-23,3340,Danny Morgan,Asia Pacific
c8be63b6-30fd-4e03-a20e-f4e2004b2e18,Carla Gray,carla.gray@example.com,Finance,Office Supplies,"Wilson, Pena and Rich",141.06,USD,2025-01-23,6977,Michael Lewis,Europe
5be84ebb-c9bf-45e9-8aef-c571e6b1a432,Brittany Farmer,brittany.farmer@example.com,Marketing,Meals,Meadows PLC,59.13,USD,2025-07-03,2827,Danny Morgan,Asia Pacific
8c003abf-d54f-4ffe-829f-d7044bd82758,Anthony Rodriguez,anthony.rodriguez@example.com,Finance,Travel,"Choi, Garcia and Farmer",1012.1,USD,2025-05-06,3340,Danny Morgan,Asia Pacific
d8326614-c9b9-48da-b1c0-86d33caeaec5,Jeffrey Chavez,jeffrey.chavez@example.com,Engineering,Software,Herman-Walker,274.03,USD,2025-04-19,7916,John Daniel,North America
085331f1-75e7-46fb-be9a-342ff9c0fbd9,Philip Cannon,philip.cannon@example.com,Operations,Meals,Cook and Sons,68.89,USD,2025-01-01,6310,John Daniel,Latin America
c6a28ee6-16c5-4735-b1b1-b5f5467ea8d7,Angie Henderson,angie.henderson@example.com,Sales,Lodging,Bennett Group,221.44,USD,2025-10-25,9935,John Daniel,North America
7e974a69-f878-4bd0-9af1-5c6bf04f5e87,Carla Gray,carla.gray@example.com,Finance,Lodging,"Rivera, Martinez and Richardson",446.28,USD,2025-09-02,6977,Jessica Holmes,Europe
3684a5b6-7b51-4b74-b6a8-d7466261c0f1,Gina Moore,gina.moore@example.com,Engineering,Software,Lopez-Martinez,888.33,USD,2025-04-21,8359,John Daniel,Asia Pacific
684e6ea8-89b4-4555-a96a-07a817b0a3f0,Justin Baker,justin.baker@example.com,Marketing,Lodging,"Moore, Hopkins and Le",310.68,USD,2025-07-02,7572,Brent Jordan,Asia Pacific
dc5205ae-0e41-4e6a-91c9-82b6924ebb37,Derek Zuniga,derek.zuniga@example.com,Marketing,Travel,Williams Inc,2101.81,USD,2025-03-26,2307,Richard Aguirre,Europe
343a9fbc-2937-489b-b084-7ce6ba280734,Carla Gray,carla.gray@example.com,Finance,Lodging,Short-Garcia,324.25,USD,2025-07-03,6977,Brent Jordan,Europe
bfb22e76-0f76-4f06-bb61-3285d680fd29,Debra Davidson,debra.davidson@example.com,Sales,Lodging,Herrera and Sons,369.74,USD,2025-10-04,2796,Shannon Jones,Europe
52041c78-f948-4daf-af9e-4dab03669952,Margaret Hawkins DDS,margaret.hawkins.dds@example.com,Marketing,Client Entertainment,"Miller, Murphy and Craig",216.03,USD,2025-01-25,6820,Richard Aguirre,Europe
5275b802-36f8-4cdd-9cd6-9c4126f24d64,Allison Hill,allison.hill@example.com,Sales,Software,Wilcox-Robertson,917.23,USD,2025-10-23,1409,Shannon Jones,Asia Pacific
5e400fe3-6e5a-43c9-806b-67609bab35fa,Philip Cannon,philip.cannon@example.com,Operations,Meals,Cisneros and Sons,142.69,USD,2025-07-09,6310,Michael Lewis,Latin America
7b99f8b1-c974-4ed6-bed2-7f68e49d886f,Derek Zuniga,derek.zuniga@example.com,Marketing,Travel,Navarro-Munoz,920.23,USD,2025-04-26,2307,John Daniel,Europe
323dbef3-66d7-46c9-8529-498d1e4c4231,Ryan Munoz,ryan.munoz@example.com,Marketing,Lodging,Butler and Sons,424.78,USD,2025-12-27,5552,Danny Morgan,Europe
e242f9c0-6a89-42f4-9d8e-61825e4b5a7b,Patty Perez,patty.perez@example.com,Marketing,Software,Conner and Sons,935.98,USD,2025-09-07,2169,Brent Jordan,Europe
ccd850df-7ab6-40ce-8c37-445f3d9b7492,Eric Carney,eric.carney@example.com,Finance,Travel,Chambers and Sons,1420.71,USD,2025-12-11,2133,John Daniel,Europe
2cfbeff8-7a36-4406-9037-3a3b36ad2ccb,Shane Henderson,shane.henderson@example.com,Marketing,Office Supplies,"Phillips, Spence and Barrett",162.56,USD,2025-10-17,4923,Danny Morgan,North America
436441e5-7f72-4080-b3ea-c3f98dc49197,Ethan Adams,ethan.adams@example.com,Operations,Software,Ross LLC,1650.05,USD,2025-12-05,5010,Mark Perez,Europe
8b110d58-7fb6-4202-86b3-4b157747ce50,Holly Wood,holly.wood@example.com,Sales,Office Supplies,Hughes-Alvarado,290.54,USD,2025-04-25,1750,Michael Lewis,Europe
95d18647-2dfc-4d24-8668-31498859e66f,Nathan Maldonado,nathan.maldonado@example.com,Operations,Meals,"Kirby, Wheeler and Romero",86.86,USD,2025-04-10,9085,Mark Perez,North America
9d11963b-7484-4074-b0cc-c27065d6c1ca,Rebecca Henderson,rebecca.henderson@example.com,Engineering,Office Supplies,Smith-Grimes,235.62,USD,2025-07-19,5040,John Daniel,Asia Pacific
766a0bc9-0cdd-4ea2-bb52-628cd330c220,Tommy Walter,tommy.walter@example.com,Finance,Software,"Hale, Myers and Larson",915.68,USD,2025-01-30,7216,John Daniel,Asia Pacific
d3bf5a0f-294c-4420-951a-96310ce5f947,Shane Henderson,shane.henderson@example.com,Marketing,Office Supplies,"Williams, Castillo and Warren",275.19,USD,2025-09-28,4923,John Daniel,North America
53518cfb-7669-4237-866d-9eb6ad43e2d2,Jamie Arnold,jamie.arnold@example.com,Sales,Travel,"Scott, Mendoza and Harris",2762.34,USD,2025-07-23,7224,Crystal Robinson,North America
e7142b6d-3315-4826-8294-0018667f24a3,Ryan Munoz,ryan.munoz@example.com,Marketing,Software,Figueroa PLC,599.42,USD,2025-03-23,5552,Michael Lewis,Europe
e3b03857-3538-4656-9832-cabb96243b0d,Ryan Munoz,ryan.munoz@example.com,Marketing,Client Entertainment,"Alvarez, Joseph and West",761.84,USD,2025-02-03,5552,Mark Perez,Europe
e32b5fe5-aa47-4d42-9b27-ddf4d10cd950,Anthony Humphrey,anthony.humphrey@example.com,Operations,Client Entertainment,Lopez-Curry,298.8,USD,2025-10-21,4258,Crystal Robinson,Europe
6da10d1d-4d22-49ec-8217-b908636fb2cc,Noah Rhodes,noah.rhodes@example.com,Engineering,Travel,"Harvey, Davis and Crane",810.04,USD,2025-07-04,4657,John Daniel,Europe
a9c3ef10-717a-4d8b-8aaa-dd23b0bf31ce,Allison Hill,allison.hill@example.com,Sales,Office Supplies,Howell and Sons,248.48,USD,2025-02-10,1409,Timothy Duncan,Asia Pacific
1222422e-7448-4874-af23-9434f753e2d3,Stephanie Ross,stephanie.ross@example.com,Sales,Client Entertainment,Strickland-Shaw,733.03,USD,2025-01-22,4456,Danny Morgan,Asia Pacific
58549d7e-6970-444c-b191-6848617b0cb9,Zachary Hicks,zachary.hicks@example.com,Engineering,Software,"Wood, Tran and Cooper",1727.32,USD,2025-06-16,9179,Shannon Jones,Latin America
1b3b2168-77f2-4275-85b5-33b70a39995a,Debra Davidson,debra.davidson@example.com,Sales,Travel,"Brown, Mcknight and Michael",494.03,USD,2025-03-11,2796,Brent Jordan,Europe
